docman_category_id,uuid,title,slug,description,image,params,access,access_raw,enabled,locked_on,locked_by,created_on,created_by,modified_on,modified_by,asset_id
28,58804d12-9c4f-4dad-8b32-42e0d4551c88,Welfare/Food Stamp Report/Studies/Waivers,welfare-food-stamp-report-studies-waivers,,,"{""icon"":""folder""}",1,0,1,2017-12-16 16:13:01,2023,2014-08-15 12:42:36,10,2017-12-16 16:11:31,2023,928
29,a0bd16d4-e811-4714-9d12-6049e821e9c1,Legislative Counsel Opinions ( Legislative Counsel Opinions ),legislative-counsel-opinions-legislative-counsel-opinions,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2014-08-15 12:43:02,10,0000-00-00 00:00:00,0,929
30,a327793e-2ad2-4d9d-bf38-67e6b75d3905,Forms ( Forms ),forms-forms,,,"{""icon"":""folder""}",1,0,1,2017-11-23 23:47:49,2023,2014-08-15 12:43:29,10,0000-00-00 00:00:00,0,930
31,bfa90a4b-6fbf-42bb-95cf-2771f0145da6,Consent Decree ( Consent Decree ),consent-decree-consent-decree,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2014-08-15 12:43:57,2023,2017-08-19 04:23:25,2023,931
32,26766b56-9180-41e0-b596-9c44dec2d4ff,Legislation ( Legislation ),legislation-legislation,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2014-08-15 12:44:24,10,0000-00-00 00:00:00,0,932
33,68af42cf-0bd0-4573-91de-cd7e8a6be56d,CCWRO Testimony ( CCWRO Testimony ),ccwro-testimony-ccwro-testimony,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2014-08-15 12:44:49,10,2017-08-19 04:22:17,2023,933
34,e329fd1c-1c03-435e-8922-7cacb881a1d8,Litigation ( Litigation ),litigation-litigation,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2014-08-15 12:46:51,10,0000-00-00 00:00:00,0,934
35,2a304e11-dbab-4bc1-adb3-618d0287f4bb,News Letters ( News Letters ),news-letters-news-letters,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2014-08-15 12:47:23,10,0000-00-00 00:00:00,0,935
36,04916046-a035-4ed1-8019-b097cf0ba4ce,2014 ( 2014 ),2014-2014,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2014-08-15 12:48:32,10,0000-00-00 00:00:00,0,936
37,53f4a0c5-af6b-425c-a937-f5623f5768e3,2013 ( 2013 ),2013-2013,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2014-08-15 12:49:13,10,0000-00-00 00:00:00,0,937
38,1561846e-17ef-4095-889f-e0c8a090067e,Documents ( Documents ),documents-documents,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2014-08-15 12:49:50,10,0000-00-00 00:00:00,0,938
39,131a2f40-171f-4e83-8c91-66a36deae93e,Ball_v._Swoap_-_Orders.pdf,ballvswoap-orderspdf,,,"{""icon"":""folder""}",1,0,0,0000-00-00 00:00:00,0,2014-08-16 13:54:06,10,2014-08-16 13:57:15,10,1404
40,953be51f-78ba-44dd-84c0-a69d5afe970f,Barrett_v._Sanchez._Sacramento_CMISP_case.pdf,barrettvsanchezsacramentocmispcasepdf,,,"{""icon"":""folder""}",1,0,0,0000-00-00 00:00:00,0,2014-08-16 13:54:21,10,2014-08-16 13:57:15,10,1405
41,7a725013-9a9b-4527-8351-78252bb539f1,Blanco v. Anderson Office Hours Case.pdf,blanco-v-anderson-office-hours-casepdf,,,"{""icon"":""folder""}",1,0,0,0000-00-00 00:00:00,0,2014-08-16 13:54:37,10,2014-08-16 13:57:15,10,1406
42,3ec8ba3f-c290-4b1c-b567-89f3b16e2782,Blankenship_v._Seanz.pdf,blankenshipvseanzpdf,,,"{""icon"":""folder""}",1,0,0,0000-00-00 00:00:00,0,2014-08-16 13:54:52,10,2014-08-16 13:57:15,10,1407
43,d9f79a53-cc53-4ead-9a8c-c17b17dc92cb,Christopherson v. McMahon.pdf,christopherson-v-mcmahonpdf,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2014-08-16 13:56:52,10,0000-00-00 00:00:00,0,1412
44,378914d0-956f-4150-b05f-ae74b723d67d,2012,2012,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2014-08-21 00:23:25,10,2019-01-07 17:48:27,2023,2046
45,ff395217-8066-4a04-bf5f-8998ba3d4a28,2013,2013,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2014-08-21 00:23:37,10,2019-01-07 17:49:21,2023,2047
46,4f9acdd9-6523-485d-88e8-6f0fd55680f5,2011,2011,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2014-08-21 00:23:48,10,2019-01-07 17:49:42,2023,2048
47,100ad71a-25f1-4933-bbec-2df1f15fd63d,2010,2010,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2014-08-21 00:23:56,10,2019-01-07 17:50:02,2023,2049
48,f4d3fe83-3624-4629-9868-9bac6b2ab78d,2009,2009,,,"{""icon"":""folder""}",1,0,1,0000-00-00 00:00:00,0,2014-08-21 00:24:06,10,2019-01-07 17:50:21,2023,2050
